sentence_ID,zinString,category,zin_cut_files,cuts_on_drive,recording_date
462,"Kom maar, gaan we snel naar de wc.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_0882,1,2024-12-16
1659,"Kom op, want anders hebben we geen tijd meer voor een boekje.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_1164,1,2024-12-16
1176,Kun je het aanwijzen?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_1015,1,2024-12-16
2030,Laat maar staan.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_1315,1,2024-12-16
1915,laten we vanaf binnen kijken hoe het stormt.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20250204_4345;M20250204_4346,2,2025-02-04
1832,mag ik even aan je handen ruiken?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20250204_4207,1,2025-02-04
471,Mama zet je even op de wc.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_0894,1,2024-12-16
295,Misschien ga je wel iets leuks doen bij opa en oma.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241108_6186,1,2024-11-08
1178,Moeten we het nog schoonmaken?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_1326,1,2024-12-16
278,"Nee nu niet, we gaan dadelijk al eten.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241108_6359;M20241108_6360;M20241108_6358,3,2024-11-08
1367,Niet in je mond stoppen.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_1091,1,2024-12-16
1845,Nog even stil liggen.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20250204_4329,1,2025-02-04
1849,Ook tussen je billen en tussen je tenen afdrogen.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20250204_4335;M20250204_4336;M20250204_4337;M20250204_4338;M20250204_4339,5,2025-02-04
1582,Pak je kadootje maar uit.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241216_1143,1,2024-12-16
1853,"Pas op, niet de warme kraan.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20250204_4343,1,2025-02-04
1855,Probeer je neus maar even te snuiten.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0054;M20241210_0056;M20241210_0055,3,2024-12-10
848,"Stop daar maar mee, dat klinkt voor ons heel hard en dat is niet prettig.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241107_6255,1,2024-11-07
1866,"Voorzichtig, niet in je ogen wrijven met de shampoo.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0076,1,2024-12-10
1284,Wat voor pauzehap willen jullie vandaag mee naar school? Een rijstwafel of een koek?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20250204_4256,1,2025-02-04
1965,"We gaan eerst naar de dokter, en daarna doen we samen iets leuks om te vieren hoe dapper je bent geweest.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241113_7276;M20241113_7278;M20241113_7277,3,2024-11-13
1400,we kunnen heel even niet buiten spelen.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20250204_4278;M20250204_4279,2,2025-02-04
1147,wie is er echt oud?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241113_6778;M20241113_6779,2,2024-11-13
312,Wil je iets in je haar?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241108_6195;M20241108_6196,2,2024-11-08
1879,Wil je zelf badschuim erin doen?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0091,1,2024-12-10
1188,Zal ik er een kusje op geven?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241113_6842,1,2024-11-13
313,Zal ik staartjes bij je maken?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241108_6197,1,2024-11-08
1881,Zet de douche maar uit.,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241210_0093,1,2024-12-10
868,"Zo even de lampen uitzetten, die hoeven nu niet meer aan.","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241107_6269;M20241107_6270,2,2024-11-07
1190,"Zo, kusje erop!","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241113_6845,1,2024-11-13
1423,Zullen we een hele diepe tunnel graven?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241113_6925,1,2024-11-13
1424,Zullen we een herfsttafel gaan maken?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241113_6926,1,2024-11-13
1191,Zullen we een pilletje pakken?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20241113_6846,1,2024-11-13
735,Zullen we nu dan met de treinbaan gaan spelen?,"A: zin-cut on drive, added=0 → DB fix (set added=1)",M20240925_2018;M20240925_2019;M20240925_2020,3,
5007,Gebruik maar je bovenlip zo om het eraf te happen.,D: no studio recording at all → needs filming,,,
5620,"Kom maar lekker liggen, alles even goed doen",D: no studio recording at all → needs filming,,,
6098,"Kijk, een feestelijke ontbijttafel!","A: zin-cut on drive, added=0 → DB fix (set added=1)",M20251209_7863;M20251209_7864;M20251209_7865;M20251209_7866,4,2025-12-09
