Zin;Context;;;
Wil je een speentje?;Baby, speen;;;
Aap gaat ook mee in de auto. (knuffel);Baby, Vervoer & verkeer;;;
Even lekker in de MaxiCosy zitten.;Baby, Vervoer & verkeer;;;
even vastmaken.;Baby, Vervoer & verkeer;;;
Ga maar even lekker een dutje doen in de auto.;Baby, Vervoer & verkeer;;;
Je mag in de MaxiCosy zitten.;Baby, Vervoer & verkeer;;;
Riem goed vast, even goed vastzetten.;Baby, Vervoer & verkeer;;;
we gaan even lekker een stukje rijden.;Baby, Vervoer & verkeer;;;
wil je naar buiten kijken?;Baby, Vervoer & verkeer;;;
Zit je stevig vast?;Baby, Vervoer & verkeer;;;
Wat ben jij lekker warm in je slaapzakje!;Baby/Naar bed gaan;;;
Kiekeboe! Daar ben je weer!;Baby/Spelen;;;
Zullen we kiekeboe spelen?;Baby/Spelen;;;
gezellig, we hebben bezoek.;Bezoek;;;
hey, maar die ken je toch wel? Dat is oom Luuk. (naamgebaar Luuk = BLOND met L handvorm);Bezoek;;;
Oh, maar die kennen we wel.;Bezoek;;;
Weet je nog wie dat is?;Bezoek;;;
Deze boekjes mag je zelf uit de kast pakken.;Bibliotheek;;;
Dit boek hebben we al eens gelezen, wil je een andere?;Bibliotheek;;;
Dit boek heeft flapjes, wil je kijken wat eronder zit?;Bibliotheek;;;
Dit boek heeft heel mooie tekeningen!;Bibliotheek;;;
Dit boek is een beetje te moeilijk voor nu.;Bibliotheek;;;
Je mag zelf je bibliotheekpas geven.;Bibliotheek;;;
Kijk, hier is een nieuw boek dat je nog niet kent.;Bibliotheek;;;
Kijk, hier zijn de kinderboeken.;Bibliotheek;;;
Laten we een boek over treinen zoeken.;Bibliotheek;;;
Laten we een boek zoeken over dieren.;Bibliotheek;;;
Vandaag mag jij het boek uitkiezen.;Bibliotheek;;;
Wat een dikke stapel boeken heb je uitgekozen!;Bibliotheek;;;
We brengen de boeken weer op tijd terug.;Bibliotheek;;;
We gaan een boek voor het slapengaan kiezen.;Bibliotheek;;;
We gaan een leuk boek uitkiezen.;Bibliotheek;;;
We moeten het boek goed terugzetten op de juiste plek.;Bibliotheek;;;
We moeten voorzichtig zijn met de boeken.;Bibliotheek;;;
We moeten zachtjes praten in de bibliotheek.;Bibliotheek;;;
We mogen maar een paar boekjes meenemen.;Bibliotheek;;;
We stoppen het boek voorzichtig in de tas.;Bibliotheek;;;
Wil je dat ik dit boekje voorlees?;Bibliotheek;;;
Wil je een boek lenen of alleen hier lezen?;Bibliotheek;;;
Wil je een boek met veel plaatjes?;Bibliotheek;;;
Wil je een prentenboek of een voorleesboek?;Bibliotheek;;;
Wil je een spannend boek of een grappig boek?;Bibliotheek;;;
Wil je even bladeren in dit boek?;Bibliotheek;;;
Zullen we een boek over prinsessen zoeken?;Bibliotheek;;;
De winkelwagen is nu vol!;Boodschappen;;;
Deze winkel heeft ook een bakkerij.;Boodschappen;;;
Doe de zware boodschappen maar onderin de tas.;Boodschappen;;;
Duw het winkelwagentje maar voorzichtig.;Boodschappen;;;
Help je mee alles in de tassen doen?;Boodschappen;;;
Je mag zelf de tomaten in de zak doen.;Boodschappen;;;
Kijk, hier is de kassa.;Boodschappen;;;
Kijk, hier zijn de koekjes!;Boodschappen;;;
Kun je even kijken of we brood nodig hebben?;Boodschappen;;;
Kun je het pak sap aangeven?;Boodschappen;;;
Kun jij de boodschappen op de band leggen?;Boodschappen;;;
Laten we even bij de aanbiedingen kijken.;Boodschappen;;;
Laten we kijken of we alles hebben.;Boodschappen;;;
Pak jij het mandje (=boodschappenmandje)?;Boodschappen;;;
Pak maar heel voorzichtig een doosje eieren.;Boodschappen;;;
Vandaag mag jij iets lekkers uitkiezen.;Boodschappen;;;
We gaan de boodschappen in de fietstas doen.;Boodschappen;;;
We gaan de kassabon even bekijken.;Boodschappen;;;
We gaan nu naar de kassa toe.;Boodschappen;;;
We hebben een boodschappenlijstje nodig.;Boodschappen;;;
We kopen nog iets lekkers voor in het weekend.;Boodschappen;;;
We moeten even in de rij wachten.;Boodschappen;;;
We moeten niet vergeten eieren te kopen.;Boodschappen;;;
We moeten nog broodbeleg kiezen.;Boodschappen;;;
We moeten snel zijn, want het is bijna sluitingstijd.;Boodschappen;;;
Wil je een muntje voor het winkelwagentje pakken?;Boodschappen;;;
Wil je een nieuwe smaak yoghurt proberen?;Boodschappen;;;
Wil je een stukje kaas proeven?;Boodschappen;;;
Wil je helpen de flesjes in de krat te zetten?;Boodschappen;;;
Wil je helpen de groenten te wegen?;Boodschappen;;;
Wil je in de kinderwagen of loop je zelf?;Boodschappen;;;
Wil jij het bonnetje pakken?;Boodschappen;;;
Zet het pak melk maar in de kar.;Boodschappen;;;
Zullen we eerst naar de groente-afdeling?;Boodschappen;;;
De supermarkt is hier om de hoek.;Boodschappen doen;;;
We moeten geld meenemen naar de winkel.;Boodschappen doen;;;
Pak mijn portemonnee maar even.;Boodschappen doen;;;
Dat geluid komt van de krekels.;Buiten;;;
De bijen vliegen van bloem naar bloem.;Buiten;;;
De bloemen hebben water nodig.;Buiten;;;
De wind blaast de blaadjes weg!;Buiten;;;
De wind waait door de bomen.;Buiten;;;
De zonsondergang is heel mooi!;Buiten;;;
Er zitten kikkers in de sloot!;Buiten;;;
Er zitten visjes in de vijver.;Buiten;;;
Het is herfst, kijk maar naar de gekleurde blaadjes!;Buiten;;;
Hier zijn zaadjes om te planten.;Buiten;;;
Hoor je de vogels fluiten?;Buiten;;;
In de schaduw van de boom is het lekker koel.;Buiten;;;
Je mag de bloemen niet plukken.;Buiten;;;
Kijk, daar zijn schapen in de wei!;Buiten;;;
Kijk, een mooie vlinder!;Buiten;;;
Kijk, een slak kruipt over het pad.;Buiten;;;
Kijk, er groeien appels aan de boom!;Buiten;;;
Kijk, er zitten waterdruppeltjes op het spinnenweb!;Buiten;;;
Kun je de kikkers horen kwaken?;Buiten;;;
Kun je een grote steen vinden?;Buiten;;;
Laten we blaadjes verzamelen.;Buiten;;;
Pas op, daar is een wesp!;Buiten;;;
Pas op, deze stenen zijn heel glad.;Buiten;;;
Ruik eens, deze bloem ruikt lekker!;Buiten;;;
Wat een boel sterren!;Buiten;;;
We gaan een hut bouwen in het bos.;Buiten;;;
We gaan takken zoeken voor een hut.;Buiten;;;
We gaan kijken of we eikels kunnen vinden.;Buiten;;;
We gaan mooie schelpen zoeken.;Buiten;;;
We gaan naar het bos wandelen.;Buiten;;;
We maken zandtaartjes!;Buiten;;;
We rennen naar de heuvel en weer terug.;Buiten;;;
Wil je helpen deze bloem te planten?;Buiten;;;
Wil je helpen met water geven?;Buiten;;;
Wil je vliegeren?;Buiten;;;
Zullen we een insect zoeken?;Buiten;;;
Giet maar wat water met de gieter op de plantjes.;Buiten;;;
Laten we langzaam lopen, dan kunnen we goed kijken.;Buiten;;;
Wil jij met de tuinslang op de plantjes spuiten?;Buiten;;;
Wanneer zullen we naar buiten gaan?;Buiten;;;
Ga je takken zoeken?;Buiten spelen;;;
Kom, we rennen naar de boom en weer terug.;Buiten spelen;;;
Kun je over de boomstam lopen?;Buiten spelen;;;
Laat de steentjes maar liggen.;Buiten spelen;;;
Pas op, de glijbaan is nog nat.;Buiten spelen;;;
Pas op, de schommel gaat hard!;Buiten spelen;;;
Rennen maar!;Buiten spelen;;;
Trek je laarzen aan, dan gaan we in de modder spelen.;Buiten spelen;;;
Waar zullen we het zandkasteel bouwen?;Buiten spelen;;;
Wil je met het water spelen?;Buiten spelen;;;
Wil je met je schepje graven?;Buiten spelen;;;
Het is vandaag carnaval. ;Carnaval;;;
Je mag vandaag verkleed naar de opvang.;Carnaval;;;
Alle kindjes komen verkleed.;Carnaval;;;
Wat zullen we aandoen?;Carnaval;;;
wil je een brandweervrouw zijn of wil je een tijger zijn?;Carnaval;;;
Vandaag is de optocht, dan kun je naar mooie wagens kijken.;Carnaval;;;
Kijk, iedereen is verkleed.;Carnaval;;;
Zullen we de polonaise lopen?;Carnaval;;;
De muziek is wel een beetje hard, wil je je CI uit?;Carnaval;;;
Even je ogen dichtdoen, dan kan ik het goed doen.;Carnaval;;;
Je mag glitters op je wangen.;Carnaval;;;
Je mag je verkleedkleren aanhouden.;Carnaval;;;
Je mag ook je gewone kleren aan als je dat fijner vindt.;Carnaval;;;
Jij bent vandaag een piraat!;Carnaval;;;
Kijk eens in de spiegel, wat zie je?;Carnaval;;;
Morgen is het weer een gewone dag.;Carnaval;;;
Wat ben jij mooi verkleed!;Carnaval;;;
We gaan feesten vandaag!;Carnaval;;;
We gaan samen dansen.;Carnaval;;;
We gaan straks naar binnen om even uit te rusten.;Carnaval;;;
Wil je geschminkt worden?;Carnaval;;;
Wil je op mijn schouders zitten zodat je het beter kan zien?;Carnaval;;;
Wil je je masker afdoen?;Carnaval;;;
Als het te veel geluid is op school, mag je dat zeggen.;CI & gehoorapparaat;;;
Als je iets niet hoort, kun je dat gewoon zeggen.;CI & gehoorapparaat;;;
Als je je CI verliest, dan moet je het meteen zeggen, oké?;CI & gehoorapparaat;;;
Als je je gehoorapparaat af hebt, blijf dan goed naar mama kijken.;CI & gehoorapparaat;;;
De juf weet dat je een CI hebt, zij helpt je als het nodig is.;CI & gehoorapparaat;;;
Even controleren of alles het nog goed doet.;CI & gehoorapparaat;;;
Even je oor droogmaken voordat we je apparaatje indoen.;CI & gehoorapparaat;;;
Geeft niks, soms raak je hem even kwijt. We vinden hem wel.;CI & gehoorapparaat;;;
Heb je je CI en hoortoestel in?;CI & gehoorapparaat;;;
Hoor je me nu beter?;CI & gehoorapparaat;;;
Ik kijk even of je CI goed zit.;CI & gehoorapparaat;;;
Is het geluid gek? Dan moeten we misschien even naar de audicien.;CI & gehoorapparaat;;;
Je apparaatjes helpen je om te horen, maar mama gebruikt ook gebaren.;CI & gehoorapparaat;;;
Je hoortoestel mag af voor het slapen.;CI & gehoorapparaat;;;
Je mag er niet mee in bad of onder de douche.;CI & gehoorapparaat;;;
Je mag zelf zeggen als je hem even niet op wilt.;CI & gehoorapparaat;;;
Je oren zijn bijzonder, daarom heb jij apparaatjes.;CI & gehoorapparaat;;;
Jij mag ook gewoon gebaren als dat makkelijker is.;CI & gehoorapparaat;;;
Morgen doen we je CI weer op.;CI & gehoorapparaat;;;
Niet met natte handen aan je CI zitten.;CI & gehoorapparaat;;;
Niet trekken aan je hoortoestel.;CI & gehoorapparaat;;;
Ojee, waar heb je je hoortoestel voor het laatst gehad?;CI & gehoorapparaat;;;
Soms hoor je minder goed als het druk is, dat is niet erg.;CI & gehoorapparaat;;;
We doen eerst je apparaatjes in, dan gaan we naar buiten.;CI & gehoorapparaat;;;
We doen je hoortoestel in het doosje, dan raakt het niet kwijt.;CI & gehoorapparaat;;;
Wil je je CI even af? Dan leg ik hem veilig weg.;CI & gehoorapparaat;;;
Wil je je CI liever even af? Dat mag.;CI & gehoorapparaat;;;
Zal ik aan de juf vertellen hoe jouw CI werkt?;CI & gehoorapparaat;;;
Zal ik hem voor je afdoen of wil je het zelf doen?;CI & gehoorapparaat;;;
Zeg het maar als je iemand niet goed kunt verstaan.;CI & gehoorapparaat;;;
Zit je CI goed?;CI & gehoorapparaat;;;
Zonder je CI is het lekker rustig hè?;CI & gehoorapparaat;;;
Zullen we samen je hoortoestel aandoen voor de spiegel?;CI & gehoorapparaat;;;
Zullen we samen je hoortoestel schoonmaken?;CI & gehoorapparaat;;;
Jij hebt één CI en één hoortoestel.;CI & gehoorapparaat;;;
Wil je je CI op?;CI & gehoorapparaat;;;
Wil je je hoortoestel op?;CI & gehoorapparaat;;;
Werkt je CI goed?;CI & gehoorapparaat;;;
Is de batterij van je hoortoestel op?;CI & gehoorapparaat;;;
De batterij van je CI is op. Ik pak even een nieuwe.;CI & gehoorapparaat;;;
Je CI mag niet nat worden.;CI & gehoorapparaat;;;
Als je gaat zwemmen, moet je CI even af.;CI & gehoorapparaat;;;
We gaan straks naar de audicien.;CI & gehoorapparaat;;;
We gaan morgen naar de audioloog.;CI & gehoorapparaat;;;
De audioloog gaat een hoortest doen, zodat ze je hoortoestel goed in kan stellen.;CI & gehoorapparaat;;;
De audicien gaat iets in je oor doen om te meten hoe groot je oorstukje moet worden.;CI & gehoorapparaat;;;
We zijn je CI kwijt. Waar zou die kunnen zijn?;CI & gehoorapparaat;;;
Kijk, dat jongetje heeft ook een hoortoestel, net als jij.;CI & gehoorapparaat;;;
Kijk, die mevrouw heeft ook een CI, net als jij.;CI & gehoorapparaat;;;
Dit is de afstandbediening van jouw CI. Als ik dit knopje indruk dan gaat je CI aan.;CI & gehoorapparaat;;;
Dat was heel vriendelijk van jou!;Complimenten;;;
Ik merk dat je steeds beter wordt in dit spel!;Complimenten;;;
Ik zie dat je daar echt plezier in hebt, wat fijn!;Complimenten;;;
Ik zie dat je je best hebt gedaan en dat vind ik geweldig!;Complimenten;;;
Je bent echt een fijne vriendin.;Complimenten;;;
Je bent een goed voorbeeld voor je zusje!;Complimenten;;;
Je bent zo behulpzaam!;Complimenten;;;
Je bent zo geduldig geweest.;Complimenten;;;
Je hebt dat spel heel eerlijk gespeeld!;Complimenten;;;
Je hebt echt een groot hart.;Complimenten;;;
Je hebt echt je best gedaan, dat zie ik!;Complimenten;;;
Je hebt een hele goede keuze gemaakt.;Complimenten;;;
Je hebt goed aan de regels gedacht.;Complimenten;;;
Je hebt goed naar de aanwijzingen geluisterd.;Complimenten;;;
Je hebt goed nagedacht over hoe je dat wilde doen.;Complimenten;;;
Je hebt goed samengewerkt met je vriendjes.;Complimenten;;;
Je hebt het probleem helemaal zelf opgelost, knap hoor!;Complimenten;;;
Je hebt laten zien dat je een echte doorzetter bent.;Complimenten;;;
Je hebt vandaag zo goed meegedaan!;Complimenten;;;
Je hebt zoveel geleerd, dat is knap!;Complimenten;;;
Je helpt zo goed mee, dat is fijn.;Complimenten;;;
Jij bent zo goed in verhalen vertellen!;Complimenten;;;
Jij kunt echt al goed dingen uitleggen.;Complimenten;;;
Jij maakt anderen blij!;Complimenten;;;
Wat ben je lief voor de dieren!;Complimenten;;;
Wat ben jij creatief!;Complimenten;;;
Wat ben jij een doorzetter!;Complimenten;;;
Wat ben jij leergierig!;Complimenten;;;
Wat ben jij lekker zelfstandig bezig!;Complimenten;;;
Wat ben jij toch een vrolijk kindje!;Complimenten;;;
Wat een fijne sfeer maak jij!;Complimenten;;;
Wat een geweldige oplossing heb je bedacht!;Complimenten;;;
Wat een lief lachje!;Complimenten;;;
Wat een slim idee had jij net!;Complimenten;;;
Wat een zachte wangetjes heb jij!;Complimenten;;;
Wat fijn dat je anderen zo respectvol behandelt!;Complimenten;;;
Wat fijn dat je eerst even nadenkt voor je iets doet.;Complimenten;;;
Wat fijn dat je even hebt geholpen.;Complimenten;;;
Wat fijn dat je zo goed hebt geholpen.;Complimenten;;;
Wat goed dat je zo netjes hebt opgeruimd.;Complimenten;;;
Wat heb je dat mooi gezegd.;Complimenten;;;
Wat knap dat je dat helemaal zelf hebt gedaan!;Complimenten;;;
Wat leuk dat je zo enthousiast bent!;Complimenten;;;
Wat leuk om te zien dat je zo blij bent!;Complimenten;;;
Wat maak je het gezellig!;Complimenten;;;
Wat mooi dat je iets voor iemand anders deed.;Complimenten;;;
Goed bezig.;Complimenten;;;
Goed zo. Jaaa! Het is je gelukt.;Complimenten;;;
knappe meid;Complimenten;;;
Wat ben je al sterk!;Complimenten;;;
Wat ben jij al een stoere, grote meid!;Complimenten;;;
wat heb je je goed gedragen.;Complimenten;;;
Wat kun je dat al goed!;Complimenten;;;
Het gaat goed.;Consultatiebureau;;;
Het is oké.;Consultatiebureau;;;
Het is zo wel weer over.;Consultatiebureau;;;
Hier heb je een lekker dekentje.;Consultatiebureau;;;
Je hebt even wat prikjes gehad, maar dat is alleen maar goed voor je.;Consultatiebureau;;;
kijk, we waren hier al een keer.;Consultatiebureau;;;
Stil maar. ;Consultatiebureau;;;
We gaan zo naar het consultatiebureau.;Consultatiebureau;;;
Weet je nog dat we hier waren? Toen was je nog heel klein.;Consultatiebureau;;;
Jij gaat straks lekker spelen op de crèche.;Crèche;;;
Aai maar voorzichtig, anders schrikt de kat.;Dieren;;;
Als de poes nog niet wil spelen, moeten we haar even rust geven.;Dieren;;;
Als je rustig doet, komt de hond naar je toe.;Dieren;;;
Blijf maar even uit de buurt van de hond.;Dieren;;;
De eend heeft een mooi gele snavel.;Dieren;;;
De geitjes kunnen heel snel rennen.;Dieren;;;
De haan kraait elke ochtend.;Dieren;;;
De hond heeft zijn speeltje meegenomen.;Dieren;;;
De kangoeroe heeft een buidel voor haar baby.;Dieren;;;
De kat is zichzelf aan het schoonlikken.;Dieren;;;
De koe is aan het grazen.;Dieren;;;
De leeuw brult heel hard.;Dieren;;;
De pauw heeft een heel mooie staart!;Dieren;;;
De pauw spreidt zijn veren uit, wat mooi!;Dieren;;;
De pinguïn waggelt grappig over het ijs.;Dieren;;;
De poes is lekker aan het spinnen.;Dieren;;;
De zeehond kan goed zwemmen, zie je dat?;Dieren;;;
Heeft de kip eieren?;Dieren;;;
Het paard is heel groot, kun je hem aaien?;Dieren;;;
Kijk, daar is een eend in de vijver.;Dieren;;;
Kijk, de dolfijn springt uit het water!;Dieren;;;
Kijk, de geitjes spelen samen.;Dieren;;;
Kijk, de giraffen eten blaadjes uit de boom!;Dieren;;;
Kijk, die vis zwemt heel snel.;Dieren;;;
Kijk, een konijntje! Schattig, hè?;Dieren;;;
Kijk, een regenworm in de grond!;Dieren;;;
Kijk, er loopt een muis door het gras.;Dieren;;;
Kijk, het schaap heeft een heel dikke vacht van wol!;Dieren;;;
Koeien hebben uiers.;Dieren;;;
Let op, de kat is aan het slapen.;Dieren;;;
Wat voor dier denk jij dat het is?;Dieren;;;
Wat voor soort dier zou je willen hebben als huisdier?;Dieren;;;
We kunnen naar het Vondelpark gaan.;Dieren;;;
Wil je de vogels uit de kooi halen?;Dieren;;;
Zie je het kalfje in de wei?;Dieren;;;
Zullen we de hond even roepen?;Dieren;;;
Zullen we voer in het vogelhuisje doen?;Dieren;;;
Er zit een vlieg op tafel, ik jaag hem even weg.;Dieren;;;
De vos heeft een grote, rode staart.;Dieren;;;
Een walvis is heel groot en leeft in de zee.;Dieren;;;
Kijk, een worm kruipt in de aarde.;Dieren;;;
Een zebra heeft zwarte en witte strepen.;Dieren;;;
Kijk, daar loopt een biggetje bij het mama-varken.;Dieren;;;
Kijk uit, er zit een bij op de bloem.;dieren;;;
Kijk, een egel met allemaal stekeltjes!;Dieren;;;
Kijk, de geit eet blaadjes van je hand!;Dieren;;;
